<h3>Country1220</h3>
Time Series of Nominal and Indexed Data for U.S.-Canada by Rail (R), January 2004 -December 2014
Unadjusted and Adjusted for Inflation and Exchange Rate Fluctuations (Billions of U.S. Dollars)
Year,Month,Nominal Imports, Indexed Imports, Nominal Exports, Indexed Exports
2004, 01, 4.171945845, 4.171945845, 1.060121299, 1.060121299, 
2004, 02, 4.653775545, 4.5302975290337795, 1.265032046, 1.2563670333351316, 
2004, 03, 5.252862588, 5.080948689104161, 1.560426061, 1.5377009021849157, 
2004, 04, 5.077224277, 4.884416338030934, 1.478940799, 1.4475645337425775, 
2004, 05, 5.178995388, 4.93325773379807, 1.534693088, 1.4963621261405706, 
2004, 06, 4.978962137, 4.717376308746717, 1.452364591, 1.4256765672161686, 
2004, 07, 3.903537606, 3.7017489763271474, 1.113098061, 1.087386099013989, 
2004, 08, 5.030866633, 4.6749693942148625, 1.288635399, 1.2649559920588547, 
2004, 09, 5.082499777, 4.727078321343496, 1.451917487, 1.4197454308489728, 
2004, 10, 5.10193365, 4.6999612400155035, 1.443901615, 1.403792770824344, 
2004, 11, 4.987569663, 4.527962456248464, 1.583839185, 1.5354309918835605, 
2004, 12, 4.527074831, 4.131051195078665, 1.363628959, 1.3206898199194963, 
2005, 01, 4.546718786, 4.14542146805592, 1.404673968, 1.3501359940960083, 
2005, 02, 4.967090021, 4.494032030910997, 1.609432712, 1.545481239238735, 
2005, 03, 5.363686043, 4.751839855926839, 1.897006684, 1.8096439334438392, 
2005, 04, 5.114798415, 4.508818008867163, 1.748252196, 1.6599395603306306, 
2005, 05, 4.899112931, 4.3657069292482165, 1.803133146, 1.715257306649198, 
2005, 06, 4.757421631, 4.23235333664395, 1.556001413, 1.4801695585960497, 
2005, 07, 4.029271295, 3.522714004127217, 1.137774665, 1.0813117036398667, 
2005, 08, 5.136074369, 4.421343804776394, 1.504195879, 1.4322310659119932, 
2005, 09, 5.25832798, 4.364164378140801, 1.57823135, 1.4901435270898453, 
2005, 10, 5.426669125, 4.338071855304691, 1.750161779, 1.6402711106269687, 
2005, 11, 5.54559908, 4.511097141371541, 1.716253743, 1.618956298859181, 
2005, 12, 5.561516767, 4.565934778632261, 1.616803918, 1.5237283578533347, 
2006, 01, 5.626414761, 4.587358552569222, 1.575522037, 1.4738749675890026, 
2006, 02, 5.306588953, 4.4388430719407586, 1.683278227, 1.5732291342401454, 
2006, 03, 5.707225367, 4.842492313790953, 2.048227787, 1.9108001010969515, 
2006, 04, 5.439931537, 4.529017871779393, 1.966897083, 1.8215327409952098, 
2006, 05, 5.383149228, 4.365600981344974, 2.135556313, 1.9633957775407218, 
2006, 06, 5.524447222, 4.5007729655468625, 1.740486748, 1.5886631948688188, 
2006, 07, 4.45523428, 3.6158408678665515, 1.564597572, 1.4229982207947147, 
2006, 08, 5.438095658, 4.360310072086973, 2.040716224, 1.8477486954266324, 
2006, 09, 4.832282486, 3.964183892432842, 1.884791283, 1.7126790759962782, 
