<h3>Country1220</h3>
Time Series of Nominal and Indexed Data for U.S.-Canada by Truck (T), January 2004 -December 2014
Unadjusted and Adjusted for Inflation and Exchange Rate Fluctuations (Billions of U.S. Dollars)
Year,Month,Nominal Imports, Indexed Imports, Nominal Exports, Indexed Exports
2004, 01, 8.972203811, 8.972203811, 9.632482808, 9.632482808, 
2004, 02, 10.130284408, 9.8614989008826, 10.50355904, 10.431613453802736, 
2004, 03, 11.994452153, 11.601901805413824, 12.465504967, 12.283964433189794, 
2004, 04, 11.287871262, 10.859213579251279, 11.501561612, 11.257551812380767, 
2004, 05, 11.20594645, 10.674236574351923, 11.76151051, 11.467751442279427, 
2004, 06, 12.194404796, 11.553732424761705, 11.871984144, 11.653829696308469, 
2004, 07, 9.956339225, 9.441658376099573, 9.528457027, 9.30835483344891, 
2004, 08, 11.423653279, 10.615512861966033, 11.129212817, 10.92470721407084, 
2004, 09, 11.545163105, 10.737804746591388, 11.861165375, 11.598341845510324, 
2004, 10, 11.816581045, 10.88557333571006, 12.269555749, 11.928730796296305, 
2004, 11, 11.569268398, 10.50315413958476, 12.015915075, 11.648662677831068, 
2004, 12, 10.665980149, 9.732931680185818, 11.356560983, 10.998955676727489, 
2005, 01, 10.737205635, 9.789530613442253, 10.889431077, 10.466637231996716, 
2005, 02, 11.387690624, 10.303144538551708, 11.663295386, 11.199849532300732, 
2005, 03, 12.448805961, 11.02874624837161, 13.444891521, 12.825714628208532, 
2005, 04, 11.901223116, 10.491214855232368, 12.868046402, 12.218019422896827, 
2005, 05, 12.363795495, 11.017649199874993, 13.070010135, 12.433042136555468, 
2005, 06, 12.60084709, 11.210113662911057, 13.416000191, 12.762170339261118, 
2005, 07, 10.013147881, 8.754301630065708, 10.264471565, 9.755089101859303, 
2005, 08, 12.472274698, 10.73664641624111, 13.147914433, 12.5188825244051, 
2005, 09, 12.573015166, 10.435009973128617, 13.21728251, 12.479569600486217, 
2005, 10, 13.1515193, 10.513306489793857, 13.508326383, 12.660153926807352, 
2005, 11, 12.894486994, 10.489089200095208, 13.379396387, 12.620894867098576, 
2005, 12, 11.151585889, 9.155310678844863, 12.352588546, 11.6414793722899, 
2006, 01, 11.767838638, 9.594617089993775, 12.429622654, 11.627707677888726, 
2006, 02, 11.733396963, 9.814724351336674, 12.761157991, 11.926861059602267, 
2006, 03, 13.521920262, 11.473139875471324, 15.238128754, 14.215712797412394, 
2006, 04, 12.3793207, 10.30640998134837, 13.648437332, 12.639743928919795, 
2006, 05, 13.589868384, 11.021047390800556, 14.74607376, 13.557300633770755, 
2006, 06, 13.390617442, 10.909350121932233, 15.019580466, 13.70941474626204, 
2006, 07, 10.769499055, 8.740459504975618, 11.728410766, 10.66696507232441, 
2006, 08, 12.729735799, 10.206807439610106, 14.268685288, 12.919456569359436, 
2006, 09, 12.674240841, 10.397368435365657, 13.788615412, 12.52948977220636, 
2006, 10, 13.383259986, 11.483695910637763, 14.165352985, 12.906488787155673, 
2006, 11, 12.478895581, 10.438317285509564, 13.851675897, 12.575533403203078, 
2006, 12, 11.465403189, 9.442092967045166, 12.672406546, 11.433323021838959, 
2007, 01, 11.784785459, 9.819112539368298, 12.546683011, 11.269804472260985, 
2007, 02, 11.709014077, 9.717929792959128, 13.281002538, 11.835130029477051, 
2007, 03, 13.737391646, 11.22625104816625, 15.306302087, 13.544805184352834, 
2007, 04, 12.761408686, 10.270902731203202, 14.307449332, 12.605951676112479, 
2007, 05, 13.290351465, 10.592455657219984, 15.134817053, 13.300289384752988, 
2007, 06, 12.93990596, 10.198558840161649, 15.195005392, 13.295625330443642, 
2007, 07, 11.327242821, 8.894598923004711, 12.866921141, 11.24885501393312, 
2007, 08, 12.254970542, 9.644440414922059, 14.809367879, 12.924766452548866, 
2007, 09, 12.60968727, 9.938297695258699, 14.960747955, 13.012128719840062, 
2007, 10, 14.205739762, 11.056986876962382, 16.683304987, 14.399276363064931, 
2007, 11, 13.08979573, 9.698841981688833, 15.939178761, 13.629537623356985, 
2007, 12, 10.693778933, 7.995907402277939, 13.311948967, 11.325753308203371, 
2008, 01, 11.584424633, 8.535888420486737, 13.922344033, 11.707683991500073, 
2008, 02, 12.53562761, 9.104370267494213, 14.635580406, 12.196312939562354, 
2008, 03, 12.728963817, 8.910271107791557, 15.645419102, 12.82721736350575, 
2008, 04, 12.858185736, 8.550690094163963, 16.1846855, 13.205345928162812, 
2008, 05, 12.471297586, 8.027498683437308, 16.649174883, 13.540790764927982, 
2008, 06, 12.756333893, 7.927998734263124, 16.436639837, 13.230122090373863, 
2008, 07, 11.622572907, 7.115312213166254, 14.95163675, 11.856176791563222, 
2008, 08, 11.509750766, 7.259258990205117, 14.959741395, 12.060470596249823, 
2008, 09, 12.611253479, 8.381241932734957, 15.354096278, 12.4775040464274, 
2008, 10, 11.720474145, 8.352698929704085, 15.098281324, 12.530458246785525, 
2008, 11, 9.907108228, 7.762267259299282, 13.267388947, 11.373644691052405, 
2008, 12, 9.046523607, 7.4156373402535385, 11.488037378, 10.069390371218859, 
2009, 01, 7.956163226, 6.639493557899832, 10.266158124, 8.93666129961654, 
2009, 02, 8.528111508, 7.270758826081085, 10.528754177, 9.188892455497044, 
2009, 03, 9.323301994, 7.974267969148118, 11.715020811, 10.295014891099632, 
2009, 04, 8.636606531, 7.440765727324478, 11.132565148, 9.732601133613874, 
2009, 05, 8.021985963, 6.795692396875908, 11.09080832, 9.654516937850465, 
2009, 06, 8.322249659, 6.864240383897645, 11.709197443, 10.088991037087709, 
2009, 07, 8.25197312, 6.848748742310176, 11.313212316, 9.781010810498586, 
2009, 08, 8.511055104, 6.98208096249221, 12.423223631, 10.677026118528342, 
2009, 09, 9.527020842, 7.7320717934321515, 13.028171365, 11.215936852351227, 
2009, 10, 9.865234026, 7.910026228351227, 13.669034524, 11.767655164995814, 
2009, 11, 9.298706517, 7.2535335605279245, 13.026004929, 11.11975661673927, 
2009, 12, 8.836480517, 6.82789506847015, 12.775793996, 10.833272072407922, 
2010, 01, 8.545926734, 6.372012899671365, 12.068522549, 10.148754255251562, 
2010, 02, 9.043000856, 6.695719597831855, 13.172150277, 11.113655921881374, 
2010, 03, 11.142468203, 8.250230637271699, 15.535063822, 13.009970815744682, 
2010, 04, 10.586830057, 7.806224999927186, 14.935504199, 12.375127966807772, 
2010, 05, 10.518517436, 7.8759310874206685, 15.145856654, 12.488253010607744, 
2010, 06, 11.28740874, 8.621534885456398, 15.980802998, 13.273739561451036, 
2010, 07, 9.310040842, 7.085750710683979, 13.872582159, 11.541529708823886, 
2010, 08, 10.497334945, 7.960912269291543, 15.170628111, 12.51884752135349, 
2010, 09, 10.558311342, 8.030049159594347, 15.561939637, 12.769089386360164, 
2010, 10, 11.006036487, 8.32296953660323, 15.745747583, 12.816301984557143, 
2010, 11, 10.427125984, 7.683142388637781, 14.867157581, 11.919557653364064, 
2010, 12, 10.388655318, 7.463554920284986, 14.51825912, 11.55766913247899, 
2011, 01, 10.155921313, 7.213548701384258, 14.518528834, 11.4146413065082, 
2011, 02, 10.069006604, 7.057588103615615, 14.598842063, 11.32860837772961, 
2011, 03, 12.467814461, 8.520070186386826, 18.41445969, 14.084906160221147, 
2011, 04, 11.079879313, 7.286147635004482, 16.72670978, 12.688792804614295, 
2011, 05, 11.895397463, 7.755329557569158, 17.07234627, 12.902774157322606, 
2011, 06, 11.838621245, 7.887468983196502, 17.285046515, 13.044101429814559, 
2011, 07, 10.450229016, 6.984321121487632, 15.509193624, 11.747631592206947, 
2011, 08, 11.918059031, 8.076948876853569, 17.659298065, 13.316628267479802, 
2011, 09, 11.942583527, 8.198002445139668, 16.988355307, 12.744401252487078, 
2011, 10, 11.934159163, 8.277666408250255, 17.199952752, 13.165872027816318, 
2011, 11, 11.475012363, 7.877037593850769, 16.230378932, 12.414340037692972, 
2011, 12, 10.551312164, 7.224318952290437, 16.030738418, 12.317330923376316, 
2012, 01, 11.012436386, 7.583966102144303, 15.672457869, 12.005690179280732, 
2012, 02, 11.206591983, 7.71268376480489, 16.374763067, 12.487136779585875, 
2012, 03, 12.291671954, 8.514540187319342, 18.87406307, 14.28573282862393, 
2012, 04, 11.896875002, 8.360812377027758, 17.327314801, 13.056584092236479, 
2012, 05, 12.672329971, 8.970960542782782, 18.455095443, 13.979041562024495, 
2012, 06, 12.08518383, 8.723629885799063, 18.309027927, 14.110597775692579, 
2012, 07, 10.623186056, 7.800597268707953, 15.81413702, 12.141712426363004, 
2012, 08, 11.779504825, 8.508749572603362, 17.633019226, 13.416423224120562, 
2012, 09, 11.312850141, 7.98730440297074, 16.824261966, 12.696371940673096, 
2012, 10, 12.366918792, 8.668245277555643, 18.024501758, 13.592023235257745, 
2012, 11, 11.743399691, 8.204184027074913, 17.3268229, 13.1440354159326, 
2012, 12, 10.149341689, 7.223341296011976, 15.14322357, 11.504765624763177, 
2013, 01, 11.332366297, 8.059915051440397, 16.160526517, 12.23186353600927, 
2013, 02, 10.814304962, 7.635312459855109, 16.147893066, 12.131832755925242, 
2013, 03, 12.049688427, 8.440331374577127, 18.349318219, 13.857553456981318, 
2013, 04, 12.356619571, 8.609979020673748, 18.27571699, 13.88461575717543, 
2013, 05, 12.404771364, 8.592885059783477, 18.313299926, 13.986450912309802, 
2013, 06, 11.912173277, 8.289435772994821, 17.791641785, 13.598275901549373, 
2013, 07, 11.062063086, 7.712995029811162, 16.227169759, 12.421270969392172, 
2013, 08, 11.70831866, 8.063201340570597, 17.682850503, 13.607372079117066, 
2013, 09, 11.867783007, 8.199555888650371, 17.330783721, 13.28608412472292, 
2013, 10, 12.137999942, 8.586985885875858, 18.54452248, 14.302980483151927, 
2013, 11, 11.786483889, 8.51379079536352, 17.542623333, 13.509706337513672, 
2013, 12, 11.08491496, 8.012462499797609, 15.448151059, 11.851776251485235, 
2014, 01, 10.781744431, 7.647847657250271, 14.96191309, 11.444135345271233, 
2014, 02, 10.954132072, 7.4236890844148125, 15.646247917, 11.878061805087267, 
2014, 03, 12.870888538, 8.553791334530937, 17.876543106, 13.450498219879591, 
2014, 04, 13.081510376, 8.933710829637619, 17.238774522, 13.106656093922101, 
2014, 05, 13.031238715, 8.92228600171623, 18.036315246, 13.692513909053751, 
2014, 06, 13.125693121, 8.923790347892169, 17.957910623, 13.704744562986809, 
2014, 07, 12.413045254, 8.47719824599875, 16.687576385, 12.725709109870026, 
2014, 08, 11.960038494, 8.383053931110442, 17.444502579, 13.373263004701942, 
2014, 09, 13.27338335, 9.383969591528443, 17.687823051, 13.62152573380543, 
2014, 10, 13.514337809, 9.70914900545316, 18.610540564, 14.452739697782965, 
2014, 11, 12.023758546, 8.921390499047705, 16.877810587, 13.22857673244531, 
2014, 12, 12.068898287, 9.298553686348257, 15.830869836, 12.533822308699174, 


Time Series of Nominal and Indexed Data for U.S.-Canada by Truck (T), January 2004 -December 2014
Unadjusted and Adjusted for Inflation and Exchange Rate Fluctuations (U.S. Dollars)
Year,Month,Nominal Imports, Indexed Imports, Nominal Exports, Indexed Exports
2004, 01, 8.972203811E9, 8.972203811E9, 9.632482808E9, 9.632482808E9, 
2004, 02, 1.0130284408E10, 9.861498900882599E9, 1.050355904E10, 1.0431613453802736E10, 
2004, 03, 1.1994452153E10, 1.1601901805413824E10, 1.2465504967E10, 1.2283964433189795E10, 
2004, 04, 1.1287871262E10, 1.0859213579251278E10, 1.1501561612E10, 1.1257551812380766E10, 
2004, 05, 1.120594645E10, 1.0674236574351923E10, 1.176151051E10, 1.1467751442279427E10, 
2004, 06, 1.2194404796E10, 1.1553732424761705E10, 1.1871984144E10, 1.1653829696308468E10, 
2004, 07, 9.956339225E9, 9.441658376099573E9, 9.528457027E9, 9.30835483344891E9, 
2004, 08, 1.1423653279E10, 1.0615512861966034E10, 1.1129212817E10, 1.092470721407084E10, 
2004, 09, 1.1545163105E10, 1.0737804746591389E10, 1.1861165375E10, 1.1598341845510324E10, 
2004, 10, 1.1816581045E10, 1.088557333571006E10, 1.2269555749E10, 1.1928730796296305E10, 
2004, 11, 1.1569268398E10, 1.050315413958476E10, 1.2015915075E10, 1.1648662677831068E10, 
2004, 12, 1.0665980149E10, 9.732931680185818E9, 1.1356560983E10, 1.099895567672749E10, 
2005, 01, 1.0737205635E10, 9.789530613442253E9, 1.0889431077E10, 1.0466637231996716E10, 
2005, 02, 1.1387690624E10, 1.0303144538551708E10, 1.1663295386E10, 1.1199849532300732E10, 
2005, 03, 1.2448805961E10, 1.1028746248371609E10, 1.3444891521E10, 1.2825714628208532E10, 
2005, 04, 1.1901223116E10, 1.0491214855232368E10, 1.2868046402E10, 1.2218019422896828E10, 
2005, 05, 1.2363795495E10, 1.1017649199874994E10, 1.3070010135E10, 1.2433042136555468E10, 
2005, 06, 1.260084709E10, 1.1210113662911057E10, 1.3416000191E10, 1.2762170339261118E10, 
2005, 07, 1.0013147881E10, 8.754301630065708E9, 1.0264471565E10, 9.755089101859303E9, 
2005, 08, 1.2472274698E10, 1.073664641624111E10, 1.3147914433E10, 1.25188825244051E10, 
2005, 09, 1.2573015166E10, 1.0435009973128616E10, 1.321728251E10, 1.2479569600486217E10, 
2005, 10, 1.31515193E10, 1.0513306489793858E10, 1.3508326383E10, 1.2660153926807352E10, 
2005, 11, 1.2894486994E10, 1.0489089200095207E10, 1.3379396387E10, 1.2620894867098576E10, 
2005, 12, 1.1151585889E10, 9.155310678844864E9, 1.2352588546E10, 1.16414793722899E10, 
2006, 01, 1.1767838638E10, 9.594617089993776E9, 1.2429622654E10, 1.1627707677888725E10, 
2006, 02, 1.1733396963E10, 9.814724351336674E9, 1.2761157991E10, 1.1926861059602266E10, 
2006, 03, 1.3521920262E10, 1.1473139875471323E10, 1.5238128754E10, 1.4215712797412394E10, 
2006, 04, 1.23793207E10, 1.030640998134837E10, 1.3648437332E10, 1.2639743928919796E10, 
2006, 05, 1.3589868384E10, 1.1021047390800556E10, 1.474607376E10, 1.3557300633770754E10, 
2006, 06, 1.3390617442E10, 1.0909350121932234E10, 1.5019580466E10, 1.370941474626204E10, 
2006, 07, 1.0769499055E10, 8.740459504975618E9, 1.1728410766E10, 1.0666965072324411E10, 
2006, 08, 1.2729735799E10, 1.0206807439610106E10, 1.4268685288E10, 1.2919456569359436E10, 
2006, 09, 1.2674240841E10, 1.0397368435365656E10, 1.3788615412E10, 1.252948977220636E10, 
2006, 10, 1.3383259986E10, 1.1483695910637764E10, 1.4165352985E10, 1.2906488787155674E10, 
2006, 11, 1.2478895581E10, 1.0438317285509563E10, 1.3851675897E10, 1.2575533403203077E10, 
2006, 12, 1.1465403189E10, 9.442092967045166E9, 1.2672406546E10, 1.1433323021838959E10, 
2007, 01, 1.1784785459E10, 9.819112539368298E9, 1.2546683011E10, 1.1269804472260984E10, 
2007, 02, 1.1709014077E10, 9.717929792959127E9, 1.3281002538E10, 1.183513002947705E10, 
2007, 03, 1.3737391646E10, 1.1226251048166248E10, 1.5306302087E10, 1.3544805184352833E10, 
2007, 04, 1.2761408686E10, 1.0270902731203203E10, 1.4307449332E10, 1.2605951676112478E10, 
2007, 05, 1.3290351465E10, 1.0592455657219984E10, 1.5134817053E10, 1.3300289384752989E10, 
