<h3>Country2010</h3>
Time Series of Nominal and Indexed Data for U.S.-Mexico by Truck (T), January 2004 -December 2014
Unadjusted and Adjusted for Inflation and Exchange Rate Fluctuations (Billions of U.S. Dollars)
Year,Month,Nominal Imports, Indexed Imports, Nominal Exports, Indexed Exports
2004, 01, 7.752274435, 7.752274435, 5.864710438, 5.864710438, 
2004, 02, 7.90049691, 7.877027385674656, 5.793376069, 5.753693535131423, 
2004, 03, 9.44306065, 9.36862932584975, 6.977484462, 6.875868341575098, 
2004, 04, 8.684039241, 8.59020091700673, 6.728999276, 6.586241116685213, 
2004, 05, 8.518786924, 8.352887551417284, 6.555489638, 6.3917577327423, 
2004, 06, 9.259983864, 9.097366348132866, 6.643695649, 6.521613970204066, 
2004, 07, 8.30834804, 8.130712939511067, 6.4584161, 6.3092301881102095, 
2004, 08, 8.885008092, 8.652998109187726, 6.968984719, 6.840925668894839, 
2004, 09, 9.050610976, 8.704834912168375, 6.828226453, 6.676924408066474, 
2004, 10, 9.471455925, 8.831252634283125, 7.082484888, 6.885746910981234, 
2004, 11, 9.195013966, 8.677953059055444, 7.045938442, 6.830587570511819, 
2004, 12, 8.474747538, 8.205834464981471, 6.401365629, 6.199793839815968, 
2005, 01, 8.437972713, 8.107858419691802, 6.543657616, 6.2895930882674955, 
2005, 02, 8.511095536, 8.12385803233032, 6.27433461, 6.025021335878803, 
2005, 03, 9.506024808, 8.766083956604179, 6.871760308, 6.555295486482518, 
2005, 04, 9.553311171, 8.745619135886272, 6.837779608, 6.492370438378829, 
2005, 05, 9.295229393, 8.470853163366373, 6.896561553, 6.56045706928577, 
2005, 06, 9.700377548, 8.768650632851823, 7.02122025, 6.679040514629755, 
2005, 07, 8.462470245, 7.601877436320454, 6.372092761, 6.055872653086516, 
2005, 08, 9.783208303, 8.710598915314463, 7.366195613, 7.013776823758495, 
2005, 09, 9.707484909, 8.544959716757054, 7.175954583, 6.775433951776564, 
2005, 10, 10.119610542, 8.97836500023396, 7.618105886, 7.139773678318378, 
2005, 11, 10.20015346, 9.212153331564867, 7.519472546, 7.0931804181623175, 
2005, 12, 8.990687037, 8.026257763326816, 6.844059681, 6.450063426170116, 
2006, 01, 9.549938667, 8.304650220930332, 7.673706452, 7.178626247440436, 
2006, 02, 9.422621444, 8.316017993998264, 7.04080879, 6.58049592715495, 
2006, 03, 11.229153877, 9.867150187891989, 8.376444252, 7.8144191896731545, 
2006, 04, 9.722441689, 8.297030019222941, 7.222073677, 6.688323336404664, 
2006, 05, 10.787552238, 9.075239269049487, 8.114981507, 7.4607821524886395, 
2006, 06, 11.151699692, 9.420937683777966, 8.310694818, 7.585748639749837, 
2006, 07, 9.915194821, 8.184096524614729, 7.29582446, 6.635537093758548, 
2006, 08, 11.412355891, 9.230713569415734, 8.362394316, 7.5716569537265, 
2006, 09, 10.764582692, 8.966030654901934, 7.621072216, 6.925143934358799, 
2006, 10, 11.626275777, 9.871547834296527, 8.364214647, 7.620893222299658, 
2006, 11, 11.338043693, 9.634941800986327, 7.922224619, 7.192357160586564, 
2006, 12, 9.543783309, 8.096534557869802, 6.687158218, 6.033300756806306, 
2007, 01, 10.522801803, 8.97244519221061, 7.740849008, 6.953061194976531, 
2007, 02, 10.431966635, 8.83514449716696, 7.008687499, 6.245667648153815, 
2007, 03, 12.172595101, 10.189359128428828, 7.885171206, 6.977721151946221, 
2007, 04, 10.730352766, 8.792076108984794, 7.482465652, 6.592621664318569, 
2007, 05, 11.916862527, 9.693276630142513, 8.348451667, 7.336515710555876, 
2007, 06, 11.557146443, 9.221903690712777, 7.821632792, 6.843926434504276, 
2007, 07, 10.652232431, 8.360712668331118, 7.744495931, 6.770594995427431, 
2007, 08, 12.42602694, 9.715065882131583, 8.567811463, 7.477494182974102, 
2007, 09, 11.366960082, 8.744480431796529, 7.563410612, 6.578285573714038, 
2007, 10, 12.85896032, 9.72875175878807, 8.626397953, 7.445400551018808, 
2007, 11, 12.203160144, 8.98944994673215, 7.794615385, 6.665149142400956, 
2007, 12, 10.197905199, 7.4685723457624045, 6.463217855, 5.498880080172212, 
2008, 01, 10.911065426, 7.82581131322509, 7.965125402, 6.698094152697912, 
2008, 02, 11.47730007, 8.387254878891412, 7.885972027, 6.571641165286278, 
2008, 03, 11.106395629, 7.854028462505719, 7.707311134, 6.318996925518472, 
2008, 04, 12.00117798, 8.300262440986259, 8.297532219, 6.77009036116095, 
2008, 05, 12.026386468, 8.095298831523639, 8.051338429, 6.548161684338586, 
2008, 06, 11.684442744, 7.625553975602323, 8.401487622, 6.762495746217693, 
2008, 07, 11.415842195, 7.266592372116391, 8.809967137, 6.986026322779282, 
